Entity ID,Symbol,Name,Inter- net Address,Stock Exchange,Sector,Economy Sector,Company is Active,Datenc (FIRST),Datenc (RT Last),Closing Price,Market Value,Sales
003QPZ-E,752B106D,Swedbank Ab,http://www.swedbank.se,#NAME?,#NAME?,Finance,1,NA,NA,,,6480.996
003QPZ-E,752B106E,Swedbank Ab,http://www.swedbank.se,#NAME?,#NAME?,Finance,1,NA,NA,,,6480.996
003QPZ-E,752B106F,Swedbank Ab,http://www.swedbank.se,#NAME?,#NAME?,Finance,1,NA,NA,,,6480.996
003QPZ-E,752B106P,Swedbank Ab,http://www.swedbank.se,#NAME?,#NAME?,Finance,1,NA,NA,,,6480.996
05HL3L-E,711399,Clariant AG,http://www.clariant.com,SIX SWISS,Process Industries,Non-Energy Materials,1,19950630,20180706,23.62635,7842.51,6478.965
0FSV2M-E,CAA,"CalAtlantic Group, Inc.",http://www.calatlantichomes.com,NYSE,Consumer Durables,Finance,0,19870102,20180705,53.12,,6476.735
085K8D-E,BF1FXN,Banco Santander (Mexico) SA Institucion de Banca Multiple Grupo Financiero Santander Class B,http://www.santander.com.mx,MEXICO,Finance,Finance,1,19970626,20180706,1.539539,10142.67,6476.099
05HYTK-E,484CM27A,Grupo Financiero Santander S,http://www.santander.com.mx,#NAME?,#NAME?,Finance,1,NA,NA,,,6476.099
05HYTK-E,484CM27B,Grupo Financiero Santander S,http://www.santander.com.mx,#NAME?,#NAME?,Finance,1,NA,NA,,,6476.099
05HYTK-E,484CM27C,Grupo Financiero Santander S,http://www.santander.com.mx,#NAME?,#NAME?,Finance,1,NA,NA,,,6476.099
05HYTK-E,484CM27D,Grupo Financiero Santander S,http://www.santander.com.mx,#NAME?,#NAME?,Finance,1,NA,NA,,,6476.099
0C1VMM-E,6740,Japan Display Inc.,http://www.j-display.com,TOKYO,Electronic Technology,Technology,1,20140319,20180706,1.213274,1026.631,6473.936
05JGJ8-E,B00D9P,Proximus SA de droit public,http://www.proximus.com,EURONEXT BRUSSELS,Communications,Telecommunications,1,20040322,20180706,24.4556,8266.607,6473.216
0603XT-E,FDS0NY2Q,"SK Engineering & Construction Co., Ltd.",http://www.skec.com,#NAME?,#NAME?,Industrials,1,NA,NA,,,6471.514
0603XT-E,FDS0O7G4,"SK Engineering & Construction Co., Ltd.",http://www.skec.com,#NAME?,#NAME?,Industrials,1,NA,NA,,,6471.514
0089PB-E,HBI,Hanesbrands Inc.,http://www.hanes.com/corporate,NYSE,Consumer Non-Durables,Consumer Cyclicals,1,20060816,20180706,22.32,8021.836,6471.41
05HWH2-E,7731,Nikon Corp.,http://www.nikon.co.jp,TOKYO,Consumer Durables,Technology,1,19850102,20180706,15.52809,6224.884,6469.93
05HX00-E,230681,El Puerto de Liverpool SAB de CV,http://www.liverpool.com.mx,MEXICO,Retail Trade,Consumer Non-Cyclicals,1,19930512,20180706,6.952841,9202.672,6461.833
05HX00-E,484EY55B,El Puerto De Liverpool Sab D,http://www.liverpool.com.mx,#NAME?,#NAME?,Consumer Non-Cyclicals,1,NA,NA,,,6461.833
003BQ1-E,ABG,"Asbury Automotive Group, Inc.",http://www.asburyauto.com,NYSE,Retail Trade,Consumer Cyclicals,1,20020314,20180706,70.45,1452.422,6456.5
05J137-E,547742,XPO Logistics Europe SA,http://europe.xpo.com,EURONEXT PARIS,Transportation,Industrials,1,19940615,20180706,329.21,3238.189,6455.322
05HWM3-E,482477,SGS SA,http://www.sgs.com,SIX SWISS,Commercial Services,Business Services,1,19850902,20180706,2651.772,20242.92,6450.518
05HZ70-E,8020,Kanematsu Corporation,http://www.kanematsu.co.jp,TOKYO,Distribution Services,Technology,1,19850102,20180706,13.77156,1163.7,6449.286
0H0CFT-E,BD45RJ,Koninklijke VolkerWessels N.V.,http://www.volkerwessels.com,EURONEXT AMSTERDAM,Industrial Services,Industrials,1,20170512,20180706,22.5744,1805.952,6445.018
002MP7-E,PKG,Packaging Corporation of America,http://www.packagingcorp.com,NYSE,Process Industries,Non-Energy Materials,1,20000128,20180706,113.28,10634.79,6444.9
07H3PB-E,BTF7ZR,Shengjing Bank Co. Ltd. Class H,http://www.shengjingbank.com.cn,HONG KONG,Finance,Finance,1,20141229,20180706,0.5873473,3404.664,6443.531
05HHW5-E,41610,Hays plc,http://www.haysplc.com,LONDON,Commercial Services,Business Services,1,19891026,20180706,2.46242,3573.806,6442.282
05J6ZZ-E,597399,Sonae SGPS SA,http://www.sonae.pt,EURONEXT LISBON,Retail Trade,Consumer Non-Cyclicals,1,19880414,20180706,1.202792,2405.584,6440.678
05HXK4-E,680081,Shanghai Huayi Group Corporation Ltd. Class B,http://www.shhuayi.com,SHANGHAI,Consumer Durables,Industrials,1,19920917,20180706,0.843,2643.889,6440.101
000BQC-E,Y,Alleghany Corporation,http://www.alleghany.com,NYSE,Finance,Finance,1,19841105,20180706,590.71,8926.607,6439.926
064T8Z-E,B0BM5T,China State Construction International Holdings Limited,http://www.csci.com.hk,HONG KONG,Industrial Services,Industrials,1,20050708,20180706,1.003969,5069.196,6435.738
05J791-E,BF13K6,Noble Group Limited,http://www.thisisnoble.com,SINGAPORE,Transportation,Industrials,1,19970314,20180706,0.09276985,123.1505,6433.788
05HWZY-E,6448,"Brother Industries, Ltd.",http://www.brother.co.jp,TOKYO,Electronic Technology,Technology,1,19850102,20180706,18.8148,4933.625,6433.108
05WJMJ-E,B6S2Z3,"Mercuries Life Insurance Co., Ltd.",http://www.mli.com.tw,TAIWAN,Finance,Finance,1,20120209,20180706,0.5250636,1008.363,6431.85
060QKN-E,FDS0IIYV,Nykredit Realkredit A/S,http://www.nykredit.com,#NAME?,#NAME?,Finance,1,NA,NA,,,6428.964
05KD3B-E,BF8GMG,Neoenergia SA,http://www.neoenergia.com,SAO PAULO,Utilities,Utilities,1,20020111,20170724,,14.89223,6426.595
000HKP-E,DDS,"Dillard's, Inc. Class A",http://www.dillards.com,NYSE,Retail Trade,Consumer Non-Cyclicals,1,19841105,20180706,90.9,2518.628,6422.676
05W4SK-E,FDSA8C26,Empresa Nacional Del Petrole,http://www.enap.cl,#NAME?,Energy Minerals,Energy,1,NA,NA,,,6420.163
002MSP-E,RE,"Everest Re Group, Ltd.",http://www.everestre.com,NYSE,Finance,Finance,1,19951003,20180706,230.46,9451.627,6418.483
05R4MP-E,B0B8Z4,Grupa LOTOS S.A.,http://www.grupalotos.pl,WARSAW,Energy Minerals,Energy,1,20050609,20180706,15.37051,2841.598,6408.071
06KDWR-E,B19NKB,Home Retail Group plc,http://www.homeretailgroup.com,LONDON,Retail Trade,Consumer Non-Cyclicals,0,20061009,20160831,,,6405.421
05SKZN-E,B8PR8P,MegaFon PJSC,http://www.corp.megafon.ru,MICEX,Communications,Telecommunications,1,20121128,20180706,8.270053,5127.433,6399.759
05HZKY-E,*FTS,Fortis Inc.,http://www.fortisinc.com,TORONTO,Utilities,Utilities,1,19891218,20180706,32.5189,13634.29,6395.173
05L69W-E,B0H2K5,Petrofac Limited,http://www.petrofac.com,LONDON,Industrial Services,Energy,1,20051004,20180706,7.282391,2519.072,6395
05HMGC-E,B7KR2P,easyJet plc,http://www.easyjet.com,LONDON,Transportation,Industrials,1,20001115,20180706,21.45159,8520.747,6393.087
05HZLZ-E,464574,NCC AB Class B,http://www.ncc.se,OMX NORDIC STOCKHOLM,Industrial Services,Industrials,1,19890510,20180706,16.36592,1776.486,6392.382
002F4K-E,FDS9BD93,CenterPoint Energy Resources Corp.,http://www.centerpointenergy.com,#NAME?,Utilities,Utilities,1,NA,NA,,,6392
06NQM5-E,VMED,Virgin Media Inc.,http://www.virginmedia.com,NASDAQ,Communications,Consumer Services,1,20040712,20130607,,,6391.719
05K8PY-E,CFG,"Citizens Financial Group, Inc.",http://www.citizensbank.com,NYSE,Finance,Finance,1,20140924,20180706,39.35,18991.6,6391
06KNS6-E,OC,Owens Corning,http://www.owenscorning.com,NYSE,Non-Energy Minerals,Non-Energy Materials,1,20061009,20180706,63.9,7081.671,6384
0BC4VB-E,MSI,"Motorola Solutions, Inc.",http://www.motorolasolutions.com,NYSE,Electronic Technology,Technology,1,19841105,20180706,118.41,19047.62,6380
05HYXX-E,668806,Pick N Pay Stores Limited,http://www.pnp.co.za,JSE,Retail Trade,Consumer Non-Cyclicals,1,19871207,20180706,5.69272,2780.611,6367.214
06093V-E,B133RS,Savola Group,http://www.savola.com,SAUDI ARABIA,Consumer Non-Durables,Consumer Non-Cyclicals,1,19960617,20180705,9.452703,5047.561,6354.227
05HZFP-E,BF2DSG,Sika AG,http://www.sika.com,SIX SWISS,Process Industries,Non-Energy Materials,1,19850102,20180706,135.7731,23861.75,6348.208
0012S5-E,7003,"Mitsui E&S Holdings Co., Ltd.",http://www.mes.co.jp,TOKYO,Producer Manufacturing,Industrials,1,19850102,20180706,12.66694,1052.606,6344.858
06GCRL-E,759800,Hera S.p.A.,http://www.gruppohera.it,MILAN,Utilities,Utilities,1,20030626,20180706,3.280343,4886.197,6330.984
05HZ5X-E,9086,"Hitachi Transport System,Ltd.",http://www.hitachi-hb.co.jp,TOKYO,Transportation,Industrials,1,19890228,20180706,25.03509,2798.34,6319.369
000VJS-E,ROK,"Rockwell Automation, Inc.",http://www.rockwellautomation.com,NYSE,Producer Manufacturing,Industrials,1,19841105,20180706,169.24,21300.88,6311
05HPCX-E,690529,"IRPC Public Co., Ltd.",http://www.irpc.co.th,THAILAND,Energy Minerals,Energy,1,19950317,20180706,0.1748305,3572.559,6309.422
0072XZ-E,THS,"TreeHouse Foods, Inc.",http://www.treehousefoods.com,NYSE,Consumer Non-Durables,Consumer Non-Cyclicals,1,20050614,20180706,53.9,3008.935,6307.1
003ZLL-E,WYNN,"Wynn Resorts, Limited",http://www.wynnresorts.com,NASDAQ,Consumer Services,Consumer Services,1,20021025,20180706,156.86,16813.61,6306.368
071XK1-E,549913,A2A S.p.A.,http://www.a2a.eu,MILAN,Utilities,Utilities,1,19980722,20180706,1.811243,5674.452,6305.154
0053CW-E,AIZ,"Assurant, Inc.",http://www.assurant.com,NYSE,Finance,Finance,1,20040205,20180706,104.72,5534.558,6298.6
002957-E,LPNT,"LifePoint Health, Inc.",http://www.lifepointhealth.net,NASDAQ,Health Services,Healthcare,1,19990507,20180706,48.15,1882.72,6291.4
05J3ML-E,649711,CJ Logistics Corp,http://www.cjlogistics.com,KOREA,Transportation,Industrials,1,19891107,20180706,150.9924,3444.491,6289.541
05HX6H-E,4208,"UBE Industries, Ltd.",http://www.ube-ind.co.jp,TOKYO,Process Industries,Non-Energy Materials,1,19850102,20180706,25.85903,2746.231,6275.907
07BQKB-E,840RXZN0,"IHEARTCOMMUNICATIONS, INC.",#NAME?,#NAME?,#NAME?,Consumer Services,0,NA,NA,,,6273.573
000SV7-E,OLN,Olin Corporation,http://www.olin.com,NYSE,Process Industries,Non-Energy Materials,1,19841105,20180706,29.03,4829.111,6268.4
00231Q-E,AXL,"American Axle & Manufacturing Holdings, Inc.",http://www.aam.com,NYSE,Producer Manufacturing,Consumer Cyclicals,1,19990129,20180706,16.41,1835.658,6266
000SV2-E,ORI,Old Republic International Corporation,http://www.oldrepublic.com,NYSE,Finance,Finance,1,19841105,20180706,19.86,5986.305,6262.8
05HHKM-E,525397,Hermes International SCA,http://www.hermes.com/index_default.html,EURONEXT PARIS,Consumer Non-Durables,Consumer Cyclicals,1,19930810,20180706,617.5039,65189.52,6259.134
008FF6-E,B17N9P,Greentown China Holdings Ltd.,http://www.chinagreentown.com,HONG KONG,Finance,Finance,1,20060713,20180706,1.279168,2772.837,6255.341
05J3NY-E,B0YCFG,"Meritz Fire & Marine Insurance Co., Ltd",http://www.meritzfire.com,KOREA,Finance,Finance,1,19891208,20180706,17.51871,1932.979,6255.209
07D16M-E,SIG,Signet Jewelers Limited,http://www.signetjewelers.com,NYSE,Retail Trade,Consumer Cyclicals,1,19880713,20180706,59,3424.893,6253
05J1L4-E,8097,"San-Ai Oil Co., Ltd.",http://www.san-ai-oil.co.jp,TOKYO,Distribution Services,Energy,1,19850102,20180706,11.63475,826.0673,6245.285
07BZHK-E,3141,"Welcia Holdings Co., Ltd.",http://www.welcia.co.jp,TOKYO,Retail Trade,Consumer Non-Cyclicals,1,20080901,20180706,51.6094,5409.561,6240.853
000V1X-E,FDSB943E,Public Service Electric and Gas Company,http://www.pseg.com,#NAME?,Utilities,Utilities,1,NA,NA,,,6234
0BH530-E,FDS0EBM6,Holding Company METALLOINVEST OJSC,http://www.metalloinvest.com,#NAME?,#NAME?,Non-Energy Materials,1,NA,NA,,,6230.773
