Entity ID,Symbol,Name,GICS Sector Name,GICS Ind Name,Country of Primary Listing,Sec Type ,Det Sec Type Desc,Net Sales 1999,Net Sales 2000,Net Sales 2001,Net Sales 2002,Net Sales 2003,Net Sales 2004,Net Sales 2005,Net Sales 2006,Net Sales 2007,Net Sales 2008,Net Sales 2009,Net Sales 2010,Net Sales 2011,Net Sales 2012,Net Sales 2013,Net Sales 2014,Net Sales 2015,Net Sales 2016,Net Sales 2017,Net Sales 2018
068Z23-E,653001,Wolong Electric Group Co. Ltd. Class A,Industrials,Electrical Equipment,CHINA,SHARE,Equity; some share ownership restricted to domestic residents,16.05229661,20.30498591,24.53575569,25.13505858,39.16877131,62.09553787,93.99974906,155.2305589,207.6373066,299.1405503,760.5340833,1092.908417,551.8001725,434.9150723,1142.831048,1875.938875,2637.108865,1331.774284,1585.394107,1663.462396
000QW5-E,NFG,National Fuel Gas Company,Utilities,Gas Utilities,UNITED STATES,SHARE,Equity,1263.274,1607.75,2100.352,1464.496,2035.471,1907.968,1923.549,2239.675,2039.566,2400.361,4028.04985,5393.37377,4604.52532,4226.278636,5975.609024,5853.730767,3618.103615,1235.201,4699.307647,1663.15
0HNM9J-E,AMRX,"Amneal Pharmaceuticals, Inc. Class A",Health Care,Pharmaceuticals,UNITED STATES,SHARE,Equity,1.24,10.17,6.591,24.515,58.818,NA,112.4,135.246,273.753,210.071,842.1187288,1291.906594,1339.893111,1399.651356,1748.662918,2257.136697,3015.178519,824.429,1909.671701,1662.991
0015VP-E,AMED,"Amedisys, Inc.",Health Care,Health Care Providers & Services,UNITED STATES,SHARE,Equity,97.411,90.755,110.174,129.424,142.473,227.089,381.558,541.148,697.934,1187.415,1359.050391,972.4379959,321.1467645,349.8436952,474.8897903,979.7030441,1324.730184,1437.454,1788.819253,1662.578
05J3C0-E,4555,"Sawai Pharmaceutical Co., Ltd.",Health Care,Pharmaceuticals,JAPAN,SHARE,Equity,143.9730109,156.460842,139.2422034,173.6372108,199.5416588,216.5524569,235.148146,293.5306853,329.2655109,440.295506,895.6186382,1291.944726,1643.443428,1592.652478,2466.204836,2207.208207,2636.554981,1222.597144,1971.733471,1662.307116
000NXM-E,KRO,"Kronos Worldwide, Inc.",Materials,Chemicals,UNITED STATES,SHARE,Equity,908.4,922.319,835.099,875.188,1008.177,1128.6,1196.729,1279.447,1310.3,1316.9,795.7787609,2412.49731,2090.872194,2260.186455,2207.228121,1508.666527,653.5688059,1364.3,2986.794604,1661.9
05HYT4-E,687985,"Teco Electric & Machinery Co., Ltd.",Industrials,Electrical Equipment,TAIWAN,SHARE,Equity,755.4758946,908.0813404,882.7992638,748.2965955,928.2291869,924.7895787,1157.324398,1260.090748,1353.236057,1454.949138,798.0091834,1221.625653,1083.269014,1415.284257,2251.157259,1910.676244,1603.51998,1547.952063,1917.998167,1661.608489
0023WC-E,PKOH,Park-Ohio Holdings Corp.,Industrials,Machinery,UNITED STATES,SHARE,Equity,717.222,754.674,636.417,634.455,624.295,808.718,932.9,1056.246,1071.441,1068.757,66.38750112,247.1561918,213.6518388,263.6260096,648.0832205,788.5682945,465.4141149,1276.9,575.7994659,1658.1
05TXKC-E,672662,Yieh United Steel Corp.,Materials,Metals & Mining,TAIWAN,SHARE,Equity; some share ownership restricted to domestic residents,NA,NA,957.2858288,1180.021417,1391.066187,1912.599116,1799.329587,3654.338005,4337.341185,4169.56304,753.4709946,779.1281913,661.3087298,666.8150527,605.4118933,556.3352416,474.9576598,1373.653495,596.1389858,1656.585054
05JSX4-E,645166,"LARGAN Precision Co., Ltd.",Information Technology,Electronic Equipment Instruments & Components,TAIWAN,SHARE,Equity,NA,26.41989882,41.89880932,56.27651321,76.81931821,81.04046909,125.2026985,225.7195107,179.0645263,237.1645353,1765.609573,3335.504736,2507.459084,3593.824699,5468.496805,10165.99522,9270.199646,1498.389454,18120.65831,1656.340247
